ticker,beta,historical_return,recent_return,stdev,mean,score,start_date,end_date,recent_days
GEO,0.708068031,13.61223853,-35.55743243,1.638527116,0.128516164,12.53224371,12/23/2015,8/19/2016,3
CXW,0.463741514,1.420560748,-40.51362683,1.497430601,0.105372909,12.39447528,12/23/2015,8/19/2016,3
BGG,0.72606155,24.49528937,-16.80628272,1.76553827,0.234350019,7.953997406,12/23/2015,8/19/2016,3
ALRM,0.815492068,40.22029173,-9.068186362,2.38304468,0.293668915,6.857956736,12/23/2015,8/19/2016,3
HMSY,0.835439068,45.65217391,-6.023550725,2.099934041,0.255785103,6.660562856,12/23/2015,8/19/2016,3
CXW,0.44803308341112597,0.73475385745774913,-39.772727272727266,1.4985004721593742,0.10064965620605498,12.064945473869845,2015-12-26,2016-08-22,3
GEO,0.69194112135971275,12.542582842985446,-31.222086885911494,1.6347177239930752,0.11660196295336425,11.084323757723189,2015-12-26,2016-08-22,3
COTV,0.92584915874056595,41.012108040981062,-10.654333675916396,2.4760420392305504,0.61959871768727615,7.9832384580551672,2015-12-26,2016-08-22,3
ALRM,0.83682038210003817,44.533600802407221,-5.3176302640970805,2.3954829108420062,0.28750063926579977,6.1575131713947737,2015-12-26,2016-08-22,3
JCP,0.36576186345011308,35.348837209302324,-6.8316831683168262,2.49272252609176,0.19291956550299907,4.4228388879344154,2015-12-26,2016-08-22,3
PAM,0.46222714322700437,20.559331842756308,-5.0157977883096345,2.2736242495873715,0.12107789150461855,2.8764597209606304,2015-12-26,2016-08-22,3
CTIB,-0.22146803776030904,27.826086956521738,-6.0855263157894761,2.281134695534869,0.14891216279528788,2.1682995511204095,2015-12-26,2016-08-22,3
ASA,0.16485531157884442,56.351595424443111,-7.371167645140253,2.4361543868650957,0.14001661681405275,5.9559508482704526,2015-12-27,2016-08-23,3
PTIE,0.21111182743188273,28.853754940711454,-5.4166666666666625,2.4713571507336356,0.097238205537808931,2.9337828720399806,2015-12-27,2016-08-23,3
ZOES,0.85261697615235421,24.42333375431933,-24.890235566017026,2.4436615599824849,0.088256802793062403,9.992152454500415,2015-12-28,2016-08-24,3
ASA,0.19701462435419057,55.466830466830473,-13.18758815232723,2.4306171228018152,0.13242108192097257,7.6972306370220895,2015-12-28,2016-08-24,3
AEIS,0.88771969209350809,33.890924241313556,-8.4285109280153421,1.745862386016545,0.26930338969965534,6.7459619274182927,2015-12-28,2016-08-24,3
COTV,0.82019637779093679,40.791523839202256,-5.0016345210853146,2.4466539361686537,0.5806338378706446,5.98155728967083,2015-12-28,2016-08-24,3
BEAT,0.41601902798915102,43.912840174664133,-6.3883353314052016,2.4291414778051625,0.1021024890042596,5.131391294781082,2015-12-28,2016-08-24,3
AEM,-0.15772499351263256,52.297826861417882,-6.2704366224273853,2.1191595387732431,0.30093278180741584,4.8867511793096412,2015-12-28,2016-08-24,3
LZB,0.70558448728461343,18.840579710144937,-8.9207048458149902,1.8215692483552557,0.1190274899546484,4.8518824455998217,2015-12-28,2016-08-24,3
SJM,0.21532611662503537,19.351917728478117,-8.8206353668822128,0.88548870510276867,0.15141649322358716,4.4096262744172492,2015-12-28,2016-08-24,3
EDU,0.46936113983545857,23.919644942770386,-8.2091437231624145,2.2071953194834539,0.057172554895291307,4.1330501003191964,2015-12-28,2016-08-24,3
FNV,0.048950269966368989,39.203813450141723,-5.7977030579770279,2.2072141960009364,0.13200699272582939,3.8202107715757592,2015-12-28,2016-08-24,3
UPLD,-0.024471370166700215,20.113636363636367,-8.3333333333333197,2.3182472003465704,0.12803225784445368,2.5880531275613157,2015-12-28,2016-08-24,3
IKNX,-0.31365432285755435,11.701244813278008,-7.9494128274615985,2.3647188885861254,0.19247654593798147,1.0306673690211148,2015-12-28,2016-08-24,3
DG,0.28434735195848237,20.396475770925107,-20.526385398756773,1.1473524036511298,0.10204782633816328,7.926886944347503,2015-12-29,2016-08-25,3
ASA,0.19601373918426432,53.787878787878789,-11.535788742182071,2.4332825555212731,0.12349730983201201,7.0357415745245939,2015-12-29,2016-08-25,3
BEAT,0.41667811185468118,44.003822264691827,-10.094131271227431,2.4280838245811323,0.10404602695209748,6.2560262126488251,2015-12-29,2016-08-25,3
TECD,0.92026995995369687,16.283080615384613,-11.353710580700193,1.5810189145451459,0.061272116925905638,6.0095335105984926,2015-12-29,2016-08-25,3
AEM,-0.15856704613110512,51.857777777777777,-7.7377549075662326,2.1222576139185736,0.3108634851412948,5.2942409259981078,2015-12-29,2016-08-25,3
LZB,0.70453140516609747,19.555112881806107,-9.8515030785947086,1.8247061252396963,0.12662184227237644,5.1990839367824755,2015-12-29,2016-08-25,3
ZOES,0.85172212098993605,25.503355704697988,-7.0826306913996682,2.4431704275010335,0.097531631074931679,4.7558849656029247,2015-12-29,2016-08-25,3
DFT,0.43254116928063063,28.530195381882777,-5.8161350844277599,1.3905636227694389,0.23382662471968707,4.5781720255668308,2015-12-29,2016-08-25,3
FNV,0.046924456518911667,39.822553683939823,-7.6721401959431521,2.205324801656972,0.15319474063242597,4.4590036380696612,2015-12-29,2016-08-25,3
CSH,0.27335650208737167,31.349557522123895,-5.0023158869847233,1.7400060779336797,0.20624934703456818,3.8855282066064794,2015-12-29,2016-08-25,3
CHMT,0.87082707110790181,12.483994878361072,-5.9080228264518357,1.7644157322023071,0.1410921999412747,3.8590458235724681,2015-12-29,2016-08-25,3
SJM,0.21547303669205839,20.060167701465783,-6.2486701184481177,0.88643263284236518,0.15913841781635535,3.7102904472682652,2015-12-29,2016-08-25,3
CRT,0.13777064387029844,35.535535535535537,-5.1524710830704548,2.2605476088134462,0.32703240332449934,3.7012262617437672,2015-12-29,2016-08-25,3
USATP,0.032214442464124617,15.183537263626254,-5.7142913165266132,1.3288510273559588,0.17196737285141375,2.3226005322861361,2015-12-29,2016-08-25,3
HNH,0.4860801634335325,12.970715481171544,-5.3563479415670647,2.3332852818096854,0.080014404588906615,2.2615232298250771,2015-12-29,2016-08-25,3
MCK,0.62572799705717574,-4.2396075393751653,-5.9574468085106309,1.4086165336822911,0.14092372404663475,2.0333307430338063,2015-12-29,2016-08-25,3
ENZ,-0.005190005810836687,23.287671232876704,-5.0089445438282691,2.4128504429542965,0.062329081320668056,1.775253857594709,2015-12-29,2016-08-25,3
DG,0.28120799602091828,20.592414471526933,-21.324503311258272,1.1470083290712723,0.10100786631877964,8.1751808354582067,2015-12-30,2016-08-26,3
ULTA,0.60574708310457104,32.723190072681675,-9.19756815701232,1.3323133397413571,0.11036144594376365,6.3064365192435439,2015-12-30,2016-08-26,3
TECD,0.92313926994984064,15.977346528245853,-11.882149740416478,1.581226331161075,0.055892568544190294,6.1413742000618523,2015-12-30,2016-08-26,3
BIG,0.54649460705940844,28.527717782577398,-8.7601344670753409,1.4907685403306143,0.18561552047671953,5.6124298452934376,2015-12-30,2016-08-26,3
OLLI,0.59313123324664319,40.184923891005553,-6.5102157456472289,2.4838947289381781,0.28780124725099449,5.4460695027681414,2015-12-30,2016-08-26,3
WLFC,0.53257278784115691,25.630564748908188,-9.6708610454749593,1.881973307126368,0.22473022826331338,5.3299416935913602,2015-12-30,2016-08-26,3
BEAT,0.40239685705308909,41.93391642371234,-6.4282008072472472,2.4309611608686454,0.07838473436368458,4.9024976019817013,2015-12-30,2016-08-26,3
AEM,-0.14673351006247118,52.833899517253712,-5.1125524608927888,2.1239330700032366,0.30771854669813414,4.619191453764822,2015-12-30,2016-08-26,3
AMPH,0.76890217096739077,30.08329250367467,-5.401229146027287,2.3869532337226476,0.18916385559652324,4.6058354081897193,2015-12-30,2016-08-26,3
DFT,0.42917736920240362,28.568281938325992,-5.6976744186046577,1.3904502232528553,0.23344819331405098,4.5373053712106772,2015-12-30,2016-08-26,3
HEI,0.3797392832508959,26.08695652173914,-6.1966121326190846,1.2944533870811878,0.17655190923975977,4.3495189885718846,2015-12-30,2016-08-26,3
SITE,0.13837199234420314,36.785013885971054,-5.6135823919995422,2.4484530166320742,0.58162903265735211,4.0997359827807021,2015-12-30,2016-08-26,3
ZOES,0.86248493844358598,8.5927334630350103,-9.0236126533798764,2.4535048406670783,0.07301804236201892,3.8068791267920785,2015-12-30,2016-08-26,3
GAIA,0.29764573259263238,22.710163111668756,-6.2583222370173193,1.9556725422765746,0.23031239981642726,3.4049603594501274,2015-12-30,2016-08-26,3
RQI,0.5070805433177592,13.454545454545453,-5.0151975683890591,1.1690828743827284,0.12660908198268578,3.2168855219817667,2015-12-30,2016-08-26,3
KEX,0.74193371291333876,2.5275320454955743,-6.5447545717035585,1.8227168882721745,0.24809883831972521,2.9093330291044035,2015-12-30,2016-08-26,3
UAM,0.97141672733165252,0.13869625520110662,-5.7017543859649207,2.0211548924391884,0.075229145840172665,2.6615634987003376,2015-12-30,2016-08-26,3
HNH,0.50619442397491521,13.178943157894729,-6.3591580832960224,2.3296133377828863,0.088560704980133173,2.6440847763931221,2015-12-30,2016-08-26,3
MCK,0.63761138551808305,-4.0466926070038971,-5.4652880354505218,1.4085923511288727,0.14096106583720941,1.9328157316322834,2015-12-30,2016-08-26,3
NAME,0.2262872727531052,25.475974614687207,-15.263157894736835,2.4764985945504607,0.3798999702613633,5.9427193276768691,2016-01-02,2016-08-29,3
ULTA,0.61121127503650308,33.327253571064354,-7.2848243895442559,1.3428576560868728,0.10009423393588336,5.7806077231288313,2016-01-02,2016-08-29,3
WLFC,0.51760495916770455,23.572246071291676,-10.92687074829932,1.9065475893541763,0.20347594045688738,5.4404659806544711,2016-01-02,2016-08-29,3
OLLI,0.58885939171996149,40.078796561604591,-6.2499961656441778,2.4921615032574538,0.27787625789993581,5.3299107435816824,2016-01-02,2016-08-29,3
HEI,0.38601292353016881,27.586206896551722,-8.5540599218410716,1.2976167498215923,0.18009590371767156,5.2089781304818779,2016-01-02,2016-08-29,3
BIG,0.53034368110886276,31.23644251626898,-5.2909019914096076,1.4843076163102589,0.20783663479874726,4.805661815955804,2016-01-02,2016-08-29,3
GAIA,0.28680312396714047,23.144654088050313,-10.679611650485443,1.9609971957759205,0.22153388443836589,4.7290963273869151,2016-01-02,2016-08-29,3
TECD,0.91239491487433377,18.505604539018506,-5.1612054169588468,1.5821830851284793,0.063233932953718958,4.3334695372817169,2016-01-02,2016-08-29,3
GSOL,0.28521917144783854,16.099773242630384,-10.817610062893085,2.4531719620634349,0.39605739790224848,3.9493024165023614,2016-01-02,2016-08-29,3
HEI.A,0.49067657161234191,20.059239756458787,-5.0993949870354287,1.4314333602617186,0.15407793619768478,3.6225131088459706,2016-01-02,2016-08-29,3
DG,0.28480921948935711,22.725787122780257,-5.2910052910053027,1.1482352976114629,0.10902853926256353,3.5744047650902138,2016-01-02,2016-08-29,3
JBR,0.18806208674442748,22.397959183673471,-5.8025972992083847,1.4705195033602607,0.20426067939320672,3.3146453018353803,2016-01-02,2016-08-29,3
TAYD,0.011598346297328876,22.129131486982182,-6.4533279999999991,1.8639870640305216,0.188195199386956,2.7191306689229107,2016-01-02,2016-08-29,3
NAME,0.2262872727531052,25.475974614687207,-15.263157894736835,2.4764985945504607,0.3798999702613633,5.9427193276768691,2016-01-03,2016-08-30,3
ULTA,0.61121127503650308,33.327253571064354,-7.2848243895442559,1.3428576560868728,0.10009423393588336,5.7806077231288313,2016-01-03,2016-08-30,3
WLFC,0.51760495916770455,23.572246071291676,-10.92687074829932,1.9065475893541763,0.20347594045688738,5.4404659806544711,2016-01-03,2016-08-30,3
OLLI,0.58885939171996149,40.078796561604591,-6.2499961656441778,2.4921615032574538,0.27787625789993581,5.3299107435816824,2016-01-03,2016-08-30,3
HEI,0.38601292353016881,27.586206896551722,-8.5540599218410716,1.2976167498215923,0.18009590371767156,5.2089781304818779,2016-01-03,2016-08-30,3
BIG,0.53034368110886276,31.23644251626898,-5.2909019914096076,1.4843076163102589,0.20783663479874726,4.805661815955804,2016-01-03,2016-08-30,3
GAIA,0.28680312396714047,23.144654088050313,-10.679611650485443,1.9609971957759205,0.22153388443836589,4.7290963273869151,2016-01-03,2016-08-30,3
TECD,0.91239491487433377,18.505604539018506,-5.1612054169588468,1.5821830851284793,0.063233932953718958,4.3334695372817169,2016-01-03,2016-08-30,3
GSOL,0.28521917144783854,16.099773242630384,-10.817610062893085,2.4531719620634349,0.39605739790224848,3.9493024165023614,2016-01-03,2016-08-30,3
HEI.A,0.49067657161234191,20.059239756458787,-5.0993949870354287,1.4314333602617186,0.15407793619768478,3.6225131088459706,2016-01-03,2016-08-30,3
DG,0.28480921948935711,22.725787122780257,-5.2910052910053027,1.1482352976114629,0.10902853926256353,3.5744047650902138,2016-01-03,2016-08-30,3
JBR,0.18806208674442748,22.397959183673471,-5.8025972992083847,1.4705195033602607,0.20426067939320672,3.3146453018353803,2016-01-03,2016-08-30,3
TAYD,0.011598346297328876,22.129131486982182,-6.4533279999999991,1.8639870640305216,0.188195199386956,2.7191306689229107,2016-01-03,2016-08-30,3
SCSC,0.57758835123707086,25.278365915147255,-23.297285100768356,1.5437163149488338,0.18250876480851558,9.7139956945561394,2016-01-04,2016-08-31,3
NCS,0.87673141127523768,29.511059371362048,-14.200792602377797,2.0994812947885326,0.20689309198759373,7.7083932981746948,2016-01-04,2016-08-31,3
